title,prefix,subtitle,full_title,key_note,description,pages,volume,publisher,series
Page of Madness,A,Cinema and Modernity in 1920s Japan,A Page of Madness: Cinema and Modernity in 1920s Japan,"<p class=""Keynote"">Offers provocative insight into a masterpiece of silent cinema using a newly released original script and notes</p>","<p class=""Bkdesc"">Kinugasa Teinosuke's 1926 film <i style=""mso-bidi-font-style:normal"">A Page of Madness</i> (<i style=""mso-bidi-font-style: normal"">Kurutta ichipeiji</i>) is celebrated as one of the masterpieces of silent cinema. It was an independently produced, experimental, avant-garde work from Japan whose brilliant use of cinematic technique was equal to if not superior to that of contemporary European cinema. Those studying Japan, focusing on the central involvement of such writers as Yokomitsu Riichi and the Nobel Prize winner Kawabata Yasunari, have seen it as a pillar of the close relationship in the Taisho era between film and artistic modernism, as well as a marker of the uniqueness of prewar Japanese film culture. </p> <p class=""Bkdesc"">But is this film really what it seems to be? Aaron Gerow brings meticulous research to the film's production, distribution, exhibition, and reception and closely analyzes the film's shooting script and shooting notes, which were recently made available. He draws a new picture of this complex work, revealing a film divided between experiment and convention, modernism and melodrama, the image and the word, cinema and literature, conflicts that play out in the story and structure of the film and its context. <i style=""mso-bidi-font-style:normal"">A Page of Madness</i>, a film fundamentally about differing perceptions and conflicting worlds, was received at the time in different versions and with varying interpretations, and ironically, the film that exists today is not in fact the one originally released. Including a detailed analysis of the film and translations of contemporary reviews and shooting notes for scenes missing from the current print, Gerow's book offers provocative insight into the fascinating film <i style=""mso-bidi-font-style: normal"">A Page of Madness</i> was—and still is—and into the struggles over this work that tried to articulate the place of cinema in Japanese society and modernity.</p>",140,64,UM Center for Japanese Studies,Michigan Monograph Series in Japanese Studies
Research Guide to Japanese Film Studies,,,Research Guide to Japanese Film Studies,"<p class=""Keynote"">Provides a snapshot of all the archival and bibliographic resources available to students and scholars of Japanese cinema</p>","<p class=""Bkdesc""><i style=""mso-bidi-font-style:normal"">The Research Guide to Japanese Film Studies</i> provides a snapshot of all the archival and bibliographic resources available to students and scholars of Japanese cinema. Among the nations of the world, Japan has enjoyed an impressively lively print culture related to cinema. The first film books and periodicals appeared shortly after the birth of cinema, proliferating wildly in the 1910s with only the slightest pause in the dark days of World War II. The numbers of publications match the enormous scale of film production, but with the lack of support for film studies in Japan, much of it remains as uncharted territory, with few maps to negotiate the maze of material. </p> <p class=""Bkdesc"">This book is the first comprehensive guide ever published for approaching the complex archive for Japanese cinema. It lists all the libraries and film archives in the world with significant collections of film prints, still photographs, archival records, books, and periodicals. It provides a full annotated bibliography of the core books and magazines for the field. And it supplies hints for how to find and access materials for any research project. Above and beyond that, Nornes and Gerow's <i style=""mso-bidi-font-style:normal"">Research Guide to Japanese Film Studies</i> constitutes a comprehensive overview of the impressive dimensions and depth of the print culture surrounding Japanese film, and a guideline for future research in the field. This is an essential book for anyone seriously thinking about Japan and its cinema.</p>",206,65,UM Center for Japanese Studies,Michigan Monograph Series in Japanese Studies
Anthology of Nagauta,An,,An Anthology of Nagauta,"<p class=""Keynote"">A collection of translations of nagauta texts used for concerts</p>","<p class=""Bkdesc"">From 1964 until 1994, the University of Michigan Japanese Music Study Group performed annual concerts. The concerts included Edo <i style=""mso-bidi-font-style:normal"">matsuri bayashi</i> festival music and occasional <i style=""mso-bidi-font-style:normal"">koto</i> compositions, but the major genre was <i style=""mso-bidi-font-style:normal"">nagauta</i>, a lyrical music originally written to accompany kabuki and classical dances. Students learned to sing in Japanese or play either the three-stringed shamisen or one of three drums of the noh drama as used in kabuki. Noh and folk flutes were also taught. </p> <p class=""Bkdesc"">During those thirty years, the students usually translated the nagauta texts that were used for the concerts. William P. Malm, the former director of the study group, gathered those translations into <i style=""mso-bidi-font-style:normal"">An Anthology of Nagauta</i>. Two introductory chapters provide an overview of shamisen and nagauta music; the remainder of the book contains translations of 31 nagauta compositions dating from 1753 to 1967. The translations, with commentary, appear side-by-side with the romanized text; full Japanese texts appear at the end of the book, along with a glossary and bibliography. In addition, two compact discs have been made of seven representative pieces. </p> <p class=""Bkdesc"">In preserving these translations and presenting them to the reader, the author has provided the Japanese specialist and those interested in Japanese music a comprehensive study of nagauta.</p>",222,66,UM Center for Japanese Studies,Michigan Monograph Series in Japanese Studies
"Television, Japan, and Globalization",,,"Television, Japan, and Globalization","<p class=""Keynote"">Shines new theoretical light on Japanese television in global perspective</p>","<p class=""Bkdesc""><i style=""mso-bidi-font-style:normal"">Television, Japan, and Globalization</i> makes a monumental contribution to the literature of television studies, which has increasingly recognized its problematic focus on US and Western European media, and a compelling intervention in discussions of globalization, through its careful attention to contradictory and complex phenomena on Japanese TV. Case studies include talent and stars, romance, anime, telops, game and talk shows, and live-action nostalgia shows. The book also looks at Japanese television from a political and economic perspective, with attention to Sky TV, production trends, and Fuji TV as an architectural presence in Tokyo. </p> <p class=""Bkdesc"">The combination of textual analysis, clear argument, and historical and economic context makes this book ideal for media studies audiences. Its most important contribution may be moving the study of Japanese popular culture beyond the tired truisms about postmodernism and opening up new lines of thinking about television and popular culture within and between nations.</p>",298,67,UM Center for Japanese Studies,Michigan Monograph Series in Japanese Studies
Linguistic Turn in Contemporary Japanese Literary Studies,The,"Politics, Language, Textuality","The Linguistic Turn in Contemporary Japanese Literary Studies: Politics, Language, Textuality","<p class=""Keynote"">Traces the transformation of the study of postwar Japanese literature from positivism to radically different methods informed by linguistics</p>","<p class=""Bkdesc"">The 1970s and 1980s saw a revolution in Japanese literary criticism. A new generation of scholars and critics, many of them veterans of 1960s political activism, arose in revolt against the largely positivistic methodologies that had hitherto dominated postwar literary studies. Creatively refashioning approaches taken from the field of linguistics, the new scholarship challenged orthodox interpretations, often introducing new methodologies in the process: structuralism, semiotics, and phenomenological linguistics, among others. The radical changes introduced then continue to reverberate today, shaping the way Japanese literature is studied both at home and abroad. </p> <p class=""Bkdesc""><i style=""mso-bidi-font-style:normal"">The Linguistic Turn in Contemporary Japanese Literary Studies</i> is the first critical study of this revolution to appear in English. It includes translations of landmark essays published in the 1970s and 1980s by such influential figures as Noguchi Takehiko, Kamei Hideo, Mitani Kuniaki, and Hirata Yumi. It also collects nine new essays that reflect critically on the emergence of linguistics-based literary criticism and theory in Japan, exploring both the novel possibilities such theory created and the shortcomings that could not be overcome. Scholars from a variety of disciplines and fields probe the political and intellectual implications of this transformation and explore the exciting new pathways it opened up for the study of modern Japanese literature.</p>",308,68,UM Center for Japanese Studies,Michigan Monograph Series in Japanese Studies
Imagination without Borders,,Feminist Artist Tomiyama Taeko and Social Responsibility,Imagination without Borders: Feminist Artist Tomiyama Taeko and Social Responsibility,"<p class=""Keynote"">Opens up the transformational work of a contemporary feminist artist on the difficult terrain of Japanese and global history</p>","<p class=""Bkdesc"">Tomiyama Taeko, a Japanese visual artist born in 1921, is changing the way World War II is remembered in Japan, Asia, and the world. Her work deals with complicated moral and emotional issues of empire and war responsibility that cannot be summed up in simple slogans, which makes it compelling for more than just its considerable beauty. </p> <p class=""Bkdesc"">Japanese today are still grappling with the effects of World War II, and, largely because of the inconsistent and ambivalent actions of the government, they are widely seen as resistant to accepting responsibility for their nation's violent actions against others during the decades of colonialism and war. Yet some individuals, such as Tomiyama, have produced nuanced and reflective commentaries on those experiences, and on the difficulty of disentangling herself from the priorities of the nation despite her lifelong political dissent. Tomiyama's sophisticated visual commentary on Japan's history—and on the global history in which Asia is embedded—provides a compelling guide through the difficult terrain of modern historical remembrance, in a distinctively Japanese voice.</p>",172,69,UM Center for Japanese Studies,Michigan Monograph Series in Japanese Studies
Female as Subject,The,Reading and Writing in Early Modern Japan,The Female as Subject: Reading and Writing in Early Modern Japan,"<p class=""Keynote"">Reveals the rich and lively world of literate women in Japan from 1600 through the early 20th century</p>","<p class=""Bkdesc""><i style=""mso-bidi-font-style:normal"">The Female as Subject</i> presents 11 essays by an international group of scholars from Europe, Japan, and North America examining what women of different social classes read, what books were produced specifically for women, and the genres in which women themselves chose to write. The authors explore the different types of education women obtained and the levels of literacy they achieved, and they uncover women's participation in the production of books, magazines, and speeches. The resulting depiction of women as readers and writers is also enhanced by thirty black-and-white illustrations.</p> <p class=""Bkdesc"">For too long, women have been largely absent from accounts of cultural production in early modern Japan. By foregrounding women, the essays in this book enable us to rethink what we know about Japanese society during these centuries. The result is a new history of women as readers, writers, and culturally active agents.</p> <p class=""Bkdesc""><i style=""mso-bidi-font-style:normal"">The Female as Subject</i> is essential reading for all students and teachers of Japan during the Edo and Meiji periods. It also provides valuable comparative data for scholars of the history of literacy and the book in East Asia.</p>",290,70,UM Center for Japanese Studies,Michigan Monograph Series in Japanese Studies
Women and Public Life in Early Meiji Japan,,The Development of the Feminist Movement,Women and Public Life in Early Meiji Japan: The Development of the Feminist Movement,"<p class=""Keynote"">Offers a fresh perspective on Meiji Japan with a spotlight on women's activities in the new public spaces of the era</p>","<p class=""Bkdesc""><i style=""mso-bidi-font-style:normal"">Women and Public Life in Early Meiji Japan</i> focuses on women's activities in the new public spaces of Meiji Japan. With chapters on public, private, and missionary schools for girls, their students, and teachers, on social and political groups women created, on female employment, and on women's participation in print media, this book offers a new perspective on nineteenth- and early twentieth-century Japanese history. Women's founding of and participation in conflicting discourses over the value of women in Meiji public life demonstrate that during this period active and vocal women were everywhere, that they did not meekly submit to the dictates of the government and intellectuals over what women could or should do, and that they were fully integrated in the production of Meiji culture.</p> <p class=""Bkdesc"">Mara Patessio shows that the study of women is fundamental not only in order to understand fully the transformations of the Meiji period, but also to understand how later generations of women could successfully move the battle forward. <i style=""mso-bidi-font-style:normal"">Women and Public Life in Early Meiji Japan</i> is essential reading for all students and teachers of 19th- and early 20th-century Japanese history and is of interest to scholars of women's history more generally.</p>",240,71,UM Center for Japanese Studies,Michigan Monograph Series in Japanese Studies
Nowaki,,,Nowaki,"<p class=""Keynote"">The lives and minds of three men come together in ways that are both commonplace and surprising</p>","<p class=""Bkdesc"">Shirai Dōya is a man of letters, a man of principles. His principles sometimes stand in the way of his teaching career, but his writing allows him to openly address ""today's youth"" with stern conviction—although he is still unable to make a comfortable living from his writing. Two youths in particular show interest in his ideas: the tubercular impoverished Takayanagi, an aspiring writer himself (and former student of Dōya's, as it turns out), and his rich friend, the dandy Nakano. The lives and minds of the three men come together in ways that are both commonplace and surprising. The setting—mainly Tokyo of one hundred years ago—and the preoccupations of these characters will appear distinctly familiar, even today.</p>",128,72,UM Center for Japanese Studies,Michigan Monograph Series in Japanese Studies
Laughing Wolf,,,Laughing Wolf,"<p class=""Keynote"">Depicts Japan's grisly postwar years through the eyes of two children travelling by train</p>","<p class=""Bkdesc"">In the immediate years of postwar Japan, we follow the exploits of two children as they traverse the country by train. Through the children we experience the horrors of postwar Japan. Interspersed throughout are newspaper clippings of serial killers, packs of wild dogs attacking and killing humans, and boats sinking with hundreds of passengers aboard after running into mines never retrieved from the water. It makes for compelling reading on what war-torn Japan was like, and it could be used in history classes as well as literature classes. <i style=""mso-bidi-font-style: normal"">Laughing Wolf</i> won the 2001 Osaragi Jiro Prize and was selected by the Japanese Literature Publishing Project (JLPP), an initiative of the Agency of Cultural Affairs of Japan.</p>",244,73,UM Center for Japanese Studies,Michigan Monograph Series in Japanese Studies
Rethinking Japanese History,,,Rethinking Japanese History,"<p class=""Keynote"">Calls on us to contemplate seriously the meaning of the deep past in our present day</p>","<p class=""Bkdesc"">In this fascinating journey across centuries, Amino Yoshihiko, the premier historian of medieval Japan, invites us to rethink everything we thought we knew about Japanese history. From reconsidering the roles of outcastes and outlaws, to the provenance of ""Japan (Nihon),"" to the very meaning of writing, Amino offers a powerful critique of the conventional wisdom about Japan's past. Instead of depicting Japan as an isolated island country full of immobile peasants dominated by swaggering warriors and an unbroken line of sacred emperors, he unveils a dynamic history of an archipelago driven by the competition to control trade and movement, in which warlords and aristocrats share the main stage with pirates, courtesans, beggars, and dancing monks. </p> <p class=""Bkdesc"">Written for a nonspecialist audience and standing on a foundation of fifty years of research in a vast and eclectic range of primary sources, Rethinking Japanese History introduces the English reader to one of Japan's most original and provocative historians. Since the 1970s, Amino has inspired readers with his view of Japanese history ""from the sea,"" in which the power politics of the samurai class were contrasted with the countervailing authorities of religious institutions, artisanal groups, and ""lords of the sea"" who enabled the movement of people and goods from the Asian continent to every harbor and village of Japan. In his portraits of an archaic and medieval past permeated with ""places of freedom"" and a grand struggle between ideologies of trade and agriculture, Amino challenged his contemporaries to reconsider not only their understanding of Japan's past, but also its present and future. Rethinking Japanese History calls on us to contemplate seriously the meaning of the deep past in our present day. By challenging the reader to reexamine our presumptions of the past, Amino offers us a chance to reimagine the present.</p>",358,74,UM Center for Japanese Studies,Michigan Monograph Series in Japanese Studies
Conquering Demons,,"The ""Kirishitan,"" Japan, and the World in Early Modern Japanese Literature","Conquering Demons: The ""Kirishitan,"" Japan, and the World in Early Modern Japanese Literature","<p class=""Keynote"">Examines the origins and influence of three popular anti-Kirishitan (anti-Christian) works from the seventeenth and eighteenth centuries</p>","<p class=""Bkdesc"">These sensational fictional accounts of a near conquest of Japan by a kind of mythical Kirishitan, who used money and magic to gain converts in their attempt to take over Japan, are studied in the context of the publication trends of the time they were produced, as well as of the cultural and political attitudes toward Christianity that prevailed when they were written. </p> <p class=""Bkdesc"">Leuchtenberger also analyzes the representations of Japan and the Kirishitan that appear in these texts in the context of contemporary discourses on the world and Japan's place in it. New maps and information brought by the missionaries and traders to Japan reflected a world that looked very different from the traditional Sino-centric one. These anti-Kirishitan popular narratives meet the challenge of this new world by expelling it and reasserting the conventional three-realms world order, in which Japan plays an influential role. This is done most obviously in the expulsion of the Kirishitan that is narrated in the texts, but it is also achieved on another level by the representation of the Kirishitan as uncouth and very common villains. </p> <p class=""Bkdesc""><i style=""mso-bidi-font-style:normal"">Conquering Demons</i> features a new look at anti-Kirishitan works from a literary perspective, examining them in the context of developments in the publishing industry and in the broader discourses on Japan and its many Others in the world. It is of interest most broadly to scholars and teachers of Japanese history and literature, but also to those dealing with questions of identity and Othering, issues of ""mapping"" Japan and the world, and the role of manuscript culture in Edo-period literature. The translations provide an entertaining and relatively rare look at some Japanese representations of Westerners and would be useful in undergraduate classes on Japanese history, culture, and literature.</p>",252,75,UM Center for Japanese Studies,Michigan Monograph Series in Japanese Studies
Lords of the Sea,,"Pirates, Violence, and Commerce in Late Medieval Japan","Lords of the Sea: Pirates, Violence, and Commerce in Late Medieval Japan","<p class=""Keynote"">Reframes medieval Japan through the perspective of seafarers, a novel supplement to conventional land-based analyses</p>","<p class=""Bkdesc""><i style=""mso-bidi-font-style:normal"">Lords of the Sea </i>revises our understanding of the epic political, economic, and cultural transformations of Japan's late medieval period (ca. 1300–1600) by shifting the conventional land-based analytical framework to one centered on the perspectives of seafarers who, though usually dismissed as ""pirates,"" thought of themselves as sea lords. </p> <p class=""Bkdesc"">Over the course of these centuries, Japan's sea lords became maritime magnates who wielded increasing amounts of political and economic authority by developing autonomous maritime domains that operated outside the auspices of state authority. They played key roles in the operation of networks linking Japan to the rest of the world, and their protection businesses, shipping organizations, and sea tenure practices spread their influence across the waves to the continent, shaping commercial and diplomatic relations with Korea and China. Japan's land-based authorities during this time not only came to accept the autonomy of ""pirates"" but also competed to sponsor sea-lord bands who could administer littoral estates, fight sea battles, protect shipping, and carry trade. In turn, prominent sea-lord families expanded their dominion by shifting their locus of service among several patrons and by appropriating land-based rhetorics of lordship, which forced authorities to recognize them as legitimate lords over sea-based domains. </p> <p class=""Bkdesc"">By the end of the late medieval period, the ambitions, tactics, and technologies of sea-lord mercenary bands proved integral to the naval dimensions of Japan's sixteenth-century military revolution. Sea lords translated their late medieval autonomy into positions of influence in early modern Japan and helped make control of the seas part of the ideological foundations of the state.</p>",342,76,UM Center for Japanese Studies,Michigan Monograph Series in Japanese Studies
Going to Court to Change Japan,,Social Movements and the Law in Contemporary Japan,Going to Court to Change Japan: Social Movements and the Law in Contemporary Japan,"<p class=""Keynote"">Examines the relationship between social movements and the law in bringing about social change in Japan</p>","<p class=""Bkdesc"">Six fascinating case studies take us inside movements dealing with causes as disparate as death by overwork, the rights of the deaf, access to prisoners on death row, consumer product safety, workers whose companies go bankrupt, and persons convicted of crimes they did not commit. Each of the case studies stands on its own as a detailed account of how a social movement has persisted against heavy odds to pursue a cause through the use of the courts.</p> <p class=""Bkdesc"">The studies pay particular attention to the relationship between the social movement and the lawyers who handle their cases, usually pro bono or for minimal fees. Through these case studies we learn much about how the law operates in Japan as well as how social movements mobilize and innovate to pursue their goals using legal channels. The book also provides a general introduction to the Japanese legal system and a look at how recent legal reforms are working. </p> <p class=""Bkdesc""><i style=""mso-bidi-font-style:normal"">Going to Court to Change Japan</i> will interest social scientists, lawyers, and anyone interested in the inner workings of contemporary Japan. It is suitable for use in a wide range of undergraduate and graduate courses on Japan in social sciences and law, and can also provide a comparative perspective to general courses in these fields. Contributors include: John H. Davis, Jr., Daniel H. Foote, Patricia L. Maclachlan, Karen Nakamura, Scott North, Patricia G. Steinhoff, and Christena Turner.</p>",196,77,UM Center for Japanese Studies,Michigan Monograph Series in Japanese Studies
Culture of the Quake,The,The Great Kanto Earthquake and Taishō Japan,The Culture of the Quake: The Great Kanto Earthquake and Taishō Japan,"<p class=""Keynote"">An exploration of Taishō-era narrative fiction</p>","<p class=""Bkdesc""><i style=""mso-bidi-font-style:normal"">The Culture of the Quake</i> is first and foremost an exploration of Taishō-era narrative fiction. Every major film studio produced earthquake films, and authors from I-novelists to modernists, proletarian writers to popular fiction writers wrote something on the earthquake. In every case pre-existing attitudes toward their work shaped the way these people represented the earthquake, and yet the overwhelming destruction and mass suffering also posed particular challenges in representation. How could one show the pain without exploitation? Other scholars have looked at some of these groups of writers or filmmakers individually, but there are no studies looking at how they each tackled a similar subject. </p> <p class=""Bkdesc"">The Great Kanto Earthquake is an understudied event that has only recently caught the attention of scholars. By focusing on the way it was represented in high and low culture, <i style=""mso-bidi-font-style: normal"">The Culture of the Quake</i> gives insight into how people experienced the disaster and how they interpreted it in the years following. This book should be of interest to scholars of Japanese and Asian literature, film, culture, and history, and scholars of disaster studies.</p>",228,78,UM Center for Japanese Studies,Michigan Monograph Series in Japanese Studies
American and Japanese Auto Industries in Transition,The,Report of the Joint U.S.–Japan Automotive Study,The American and Japanese Auto Industries in Transition: Report of the Joint U.S.–Japan Automotive Study,,"<p class=""Bkdesc"">This report was prepared for the Policy Board by the U.S. and Japanese research staffs of the Joint U.S.–Japan Automotive Study under the general direction of Professors Paul W. McCracken and Keichi Oshima, with research operations organized and coordinated by Robert E. Cole on the U.S. side, in close communication with the Taizo Yakushiji on the Japanese side. [preface]</p> <p class=""Bkdesc"">In view of the importance of stable, long-term economic relationships between Japan and the United States, automotive issues have to be dealt with in ways consistent with the joint prosperity of both countries. Furthermore, the current economic friction has the potential to adversely affect future political relationships. Indeed, under conditions of economic stagnation, major economic issues inevitably become political issues.</p> <p class=""Bkdesc"">With these considerations in mind, the Joint U.S.–Japan Automotive Study project was started in September 1981 to determine the conditions that will allow for the prosperous coexistence of the respective automobile industries. During this two-year study, we have identified four driving forces that will play a major role in determining the future course of the automotive industry of both countries. These are: (1) consumers' demands and aspirations vis-à-vis automobiles; (2) flexible manufacturing systems (FMS); (3) rapidly evolving technology; and (4) the internationalization of the automotive industry. [exec. summary]</p>",256,,UM Center for Japanese Studies,
Asia through Film,,An Annotated Guide to Films on Asia in the University of Michigan Audio-Visual Education Center,Asia through Film: An Annotated Guide to Films on Asia in the University of Michigan Audio-Visual Education Center,,"<p class=""Bkdesc"">The principal aim of the Project on Asian Studies in Education (PASE) at the University of Michigan is to help the process of understanding by involving educators and the general public in the cultural and historical traditions of Asia. [. . .] The Audio-Visual Education Center with its rich collection of educational films on Asia provides in-depth support for collegiate and pre-collegiate programs and educational experiences in Asian Studies. PASE strives to mobilize all of these resources to improve the teaching of Asian Studies in elementary and secondary schools, two- and four-year colleges, and to increase understanding and appreciation of Asia among the general public.</p> <p class=""Bkdesc""><i style=""mso-bidi-font-style:normal"">Asia Through Film</i> seeks to make the films on Asia at the University of Michigan more widely available, comprehensible and usable to educators and the general public. It is the fruit of the collective labors of many PASE members in cooperation with the Audio-Visual Education Center. All films included in this guide are available for rental through the University of Michigan Audio-Visual Education Center. [i]</p>",80,,UM Center for Japanese Studies,
Bibliographic Materials in the Japanese Language on Far Eastern Archeology and Ethnology,,,Bibliographic Materials in the Japanese Language on Far Eastern Archeology and Ethnology,,"<p class=""Bkdesc"">This annotated collection of bibliographic materials is offered primarily as a research guide for students who may not have ready access to a large Far Eastern collection in one of the United States libraries. Its scope is the archaeology and ethnology of Japan and of neighboring areas of the Far East concerning which important research contributions have been published in the Japanese language. The compilers have attempted to provide leads into various sectors of research interest on which the student may build. A broad survey seemed likely to produce a more widely useful body of materials than an exhaustive but narrow study of a more limited range of subjects, especially in view of the time available for assembling materials and in the face of the mass of published information. [vii]</p>",84,,UM Center for Japanese Studies,
Bibliography of Japanese Dialects,A,,A Bibliography of Japanese Dialects,,"<p class=""Bkdesc"">The present bibliography contains listings of Japanese books and articles on dialects and dialect study. Items of a general nature as well as studies of specific local dialects are included. The latter are arranged under the particular geographical region or prefecutre in which the area investigated is located, beginning with the northern island of Hokkaido and proceeding south. [viii] </p>",88,,UM Center for Japanese Studies,
Bibliography of Reference Works for Japanese Studies,A,,A Bibliography of Reference Works for Japanese Studies,,"<p class=""Bkdesc"">This is a selective, classified bibliography of Japanese language reference works for Japanese studies. It is based primarily, but not exclusively, on the holdings of the Asia Library at the University of Michigan. The bibliography covers books published up through 1977 on Generalia, such as encyclopedias and national bibliographies, reference books and source materials in the Humanities, including history and literature, and in the Social Sciences, including political science and sociology. [vii]</p>",220,,UM Center for Japanese Studies,
Contemporary Japanese Budget Politics,,,Contemporary Japanese Budget Politics,,"<p class=""Bkdesc"">This book on the Japanese budgeting system as it works today and as it has evolved over twenty years is written within two frames of reference and with two audiences in mind. The first frame of reference is comparative public policy—in particular, the search for variables of political structure and process which help account for what governments do. Granting that budget systems in advanced mixed-economy countries are fundamentally similar, variations are important and can be compared. In fact, it is similarity which highlights differences and allows us to specify their consequences. I have tried to maintain an international perspective throughout the book, and to include comparisons to budgeting elsewhere where appropriate. </p> <p class=""Bkdesc"">The second frame of reference is contemporary Japan, specifically the study of Japanese organizations and governmental process. While certainly both Japanese and Western political scientists have performed valuable research on these themes, because of both the issues they have selected and the rather high level of generality often adopted, our understanding of how Japan's business flows through its governmental system remains quite limited. [xiii] </p>",326,,UM Center for Japanese Studies,
Current Studies in Japanese Law,,,Current Studies in Japanese Law,,"<p class=""Bkdesc"">The four papers in this volume represent the various developments over the past fifteen years in the study of Japanese law in the United States. The foundation was laid during the late 1950's when the Harvard-Michigan-Stanford program brought together Japanese legal specialists and their American counterparts for study and research. [. . .] During the 1960's interest in Japan continued to develop among law faculty members, but an even more important development was the increase in the number of students coming to the University of Michigan Law School who already had some Japanese language and area training. [. . .] One of the papers in this volume is by a visiting scholar (Kazuo Sugeno), two were written by students in a course dealing with Japanese law (Ronald Brown and Richard Briggs), and one is part of a doctoral thesis in anthropology (Walter Ames). [v]</p>",128,,UM Center for Japanese Studies,
Five Studies in Japanese Politics,,,Five Studies in Japanese Politics,,"<p class=""Bkdesc"">Over the years a notable series of publications has emerged from conferences organized by the Center for Japanese Studies, including in the Center's publication, Occasional Papers. In 1956, however, a policy was inaugurated of devoting each issue of the Occasional Papers to a particular aspect of Japanese culture. Thus the present issue continues this policy with the publication of five studies in the general field of Japanese law and politics. Three of the five papers fall into the category of politics (Paul S. Dull, Alfred B. Clubok, and William Amidon), and two are oriented toward legal problems (Shuichi Sugai and Dan F. Henderson). [iii]</p>",128,,UM Center for Japanese Studies,
Grand Old Man and the Great Tradition,,Essays on Tanizaki Jun'ichirô in Honor of Adriana Boscaro,Grand Old Man and the Great Tradition: Essays on Tanizaki Jun'ichirô in Honor of Adriana Boscaro,"<p class=""Keynote"">An homage to both the work of the ""grand old man,"" in all its inexhaustible richness, and to Boscaro's tireless contributions to the study of Tanizaki in Italy and around the world.</p>","<p class=""Bkdesc"">Adriana Boscaro and Tanizaki Jun'ichirô: two names firmly linked in my mind and in those of many others who feel connected to Boscaro either on a personal level or through a shared devotion to the work of Tanizaki. This book is primarily conceived as an homage to both the work of the ""grand old man,"" in all its inexhaustible richness, and to Boscaro's tireless contributions to the study of Tanizaki in Italy and around the world.</p> <p class=""Bkdesc"">Luisa Bienati is Professor of Japanese Literature in the Department of East Asian Studies of the University of Venice. Her principal research interests lie in modern Japanese narrative. She has translated novels by Tanizaki Jun'ichirô (including Ave Maria, Shônen, and Konjiki no shi), Nagai Kafû, and Ibuse Masuji into Italian. Bonaventura Ruperti is Professor of Japanese Language and Japanese Theater in the Department of East Asian Studies at the University Ca' Foscari, Venice. He received his Ph.D. from the Istituto Universitario Orientale, Naples, in 1992. A specialist in Japanese theater, he attended postgraduate courses at Waseda University and is the author of various articles on noh, kabuki, and ningyôjôruri. He is working on honkadori and the borrowing from yôkyoku in haikai poetry and in Chikamatsu Monzaemon's jidai jôruri. He has also translated some short novels by Izumi Kyôka into Italian.</p>",176,,UM Center for Japanese Studies,
How Policies Change,,The Japanese Government and the Aging Society,How Policies Change: The Japanese Government and the Aging Society,,,436,,UM Center for Japanese Studies,
Introduction to Kambun,An,,An Introduction to Kambun,,"<p class=""Bkdesc"">This manual is intended to provide an introduction to the <i style=""mso-bidi-font-style:normal"">kambun kundoku </i>style for students whose primary interest is in Japanese studies. Secondarily I hope that it will be of some help to students whose main field is classical Chines and who wish to make use of Japanese editions of Chinese texts. At the same time I have tried to explain as far as possible why Japanese scholars render the Chinese in the way they do, since a proper understanding of the way in which Japanese construe Chinese constructions can provide some useful hints for the grammatical analysis of classical Chinese. [iii]</p>",104,,UM Center for Japanese Studies,
Japan Election Data,,"The House of Representatives, 1947–1990","Japan Election Data: The House of Representatives, 1947–1990","<p class=""Keynote"">Provides voting records by district and individual for every House of Representatives election in Japan since 1947, along with demographic data.</p>","<p class=""Bkdesc""> This volume is designed to provide basic data on postwar Japanese elections. It differs from other reference volumes in several respects. First, it is designed for English speakers. One can use this volume with no knowledge of Japanese. It thus makes Japanese electoral returns available to a larger audience. Second, and most importantly, the data are arranged by district over time, making it easy to follow a given district or a particular candidate over the entire postwar period. The presentation is designed to make it easy to see ""what happened"" in each district in each election: who retired, who fielded new candidates, whose vote went up and whose went down. Each table should make it relatively easy to analyze the dynamics of Japanese politics at the election district level. [xi]</p>",624,,UM Center for Japanese Studies,
"Japan in the World, the World in Japan",,Fifty Years of Japanese Studies at Michigan,"Japan in the World, the World in Japan: Fifty Years of Japanese Studies at Michigan","<p class=""Keynote"">An intimate look at the growth of Japanese studies at the University of Michigan.</p>","<p class=""Bkdesc"">In fall 1997 the Center for Japanese Studies at The University of Michigan celebrated its fiftieth anniversary. The November symposium featured more than fifty speakers, moderators, and musicians who celebrated the occasion and offered reminiscences on the Center's multifaceted scholarly and professional missions, discussions of the accomplishments of its al-umni/ae, and perspectives on wartime and postwar Japan-U.S. relations. As the first American interdisciplinary institute devoted to education and research on Japan, The University of Michigan Center for Japanese Studies has a path-making legacy. This volume, which includes the public presentations from the November 1997 symposium, reflects that legacy and the university's long and continuing involvement in Asia, which dates back to the 1870s.</p>",264,,UM Center for Japanese Studies,
Japanese Economics,,A Guide to Japanese Reference and Research Materials,Japanese Economics: A Guide to Japanese Reference and Research Materials,,"<p class=""Bkdesc"">This work is intended to serve as a guide to the growing number of Western students concerned with the economics and economy of Japan. It is for those who desire to become acquainted at first hand with the writings of the Japanese economists and who wish to find their way among the official reports, unofficial monographs, research papers, statistical periodicals, academic and business journals, and the wealth of other printed materials that come from the presses of Japan. [vii]</p>",104,,UM Center for Japanese Studies,
